nohup: ignoring input
INFO:root:Namespace(batch_size=256, dataset='ml-20m', factor_size_gmf=64, gpus='0', layers='[256, 128, 64]', log_interval=100, model_type='neumf', num_epoch=10, num_hidden=1, num_neg=4, num_valid=1000, path='./data/', seed=1, sparse=False)
[17:31:58] src/base.cc:51: Upgrade advisory: this mxnet has been built against cuda library version 9000, which is older than the oldest version tested by CI (10000).  Set MXNET_CUDA_LIB_CHECKING=0 to quiet this warning.
train_ncf.py:139: UserWarning: Optimizer created manually outside Module but rescale_grad is not normalized to 1.0/batch_size/num_workers (1.0 vs. 0.00390625). Is this intended?
  mod.init_optimizer(optimizer=optim, kvstore='device')
INFO:root:Training started ...
INFO:root:Epoch[0] Batch [0-100]	Speed: 48933.14 samples/sec	cross_entropy=121.067734
INFO:root:Epoch[0] Batch [100-200]	Speed: 43494.27 samples/sec	cross_entropy=84.963005
INFO:root:Epoch[0] Batch [200-300]	Speed: 46458.06 samples/sec	cross_entropy=73.671112
INFO:root:Epoch[0] Batch [300-400]	Speed: 5522.02 samples/sec	cross_entropy=68.382225
INFO:root:Epoch[0] Batch [400-500]	Speed: 48877.83 samples/sec	cross_entropy=65.663773
INFO:root:Epoch[0] Batch [500-600]	Speed: 48345.67 samples/sec	cross_entropy=64.648163
INFO:root:Epoch[0] Batch [600-700]	Speed: 48624.08 samples/sec	cross_entropy=63.625504
INFO:root:Epoch[0] Batch [700-800]	Speed: 48767.32 samples/sec	cross_entropy=60.449589
INFO:root:Epoch[0] Batch [800-900]	Speed: 47008.93 samples/sec	cross_entropy=61.236446
INFO:root:Epoch[0] Batch [900-1000]	Speed: 48736.71 samples/sec	cross_entropy=60.442276
INFO:root:Epoch[0] Batch [1000-1100]	Speed: 48088.01 samples/sec	cross_entropy=58.807060
INFO:root:Epoch[0] Batch [1100-1200]	Speed: 47928.23 samples/sec	cross_entropy=58.447197
INFO:root:Epoch[0] Batch [1200-1300]	Speed: 49913.30 samples/sec	cross_entropy=58.564884
