INFO:root:Namespace(batch_size=256, dataset='ml-20m', factor_size_gmf=64, gpus='0', layers='[256, 128, 64]', log_interval=100, model_type='neumf', num_epoch=3, num_hidden=1, num_neg=4, num_valid=1000, path='./data/', seed=1, sparse=False)
train_ncf.py:139: UserWarning: Optimizer created manually outside Module but rescale_grad is not normalized to 1.0/batch_size/num_workers (1.0 vs. 0.00390625). Is this intended?
  mod.init_optimizer(optimizer=optim, kvstore='device')
INFO:root:Training started ...
INFO:root:Epoch[0] Batch [0-100]	Speed: 61655.90 samples/sec	cross_entropy=121.798515
INFO:root:Epoch[0] Batch [100-200]	Speed: 62276.34 samples/sec	cross_entropy=84.193398
INFO:root:Epoch[0] Batch [200-300]	Speed: 61746.38 samples/sec	cross_entropy=74.981209
INFO:root:Epoch[0] Batch [300-400]	Speed: 62868.69 samples/sec	cross_entropy=69.119888
INFO:root:Epoch[0] Batch [400-500]	Speed: 63003.59 samples/sec	cross_entropy=64.547844
INFO:root:Epoch[0] Batch [500-600]	Speed: 58148.70 samples/sec	cross_entropy=65.229706
INFO:root:Epoch[0] Batch [600-700]	Speed: 59087.58 samples/sec	cross_entropy=63.006073
INFO:root:Epoch[0] Batch [700-800]	Speed: 56958.74 samples/sec	cross_entropy=60.875389
INFO:root:Epoch[0] Batch [800-900]	Speed: 55091.20 samples/sec	cross_entropy=61.535454
INFO:root:Epoch[0] Batch [900-1000]	Speed: 59274.29 samples/sec	cross_entropy=61.206856
INFO:root:Epoch[0] Batch [1000-1100]	Speed: 59109.27 samples/sec	cross_entropy=60.751785
INFO:root:Epoch[0] Batch [1100-1200]	Speed: 58851.71 samples/sec	cross_entropy=58.695816
INFO:root:Epoch[0] Batch [1200-1300]	Speed: 59062.32 samples/sec	cross_entropy=59.470284
INFO:root:Epoch[0] Batch [1300-1400]	Speed: 58335.66 samples/sec	cross_entropy=58.694183
INFO:root:Epoch[0] Batch [1400-1500]	Speed: 58423.17 samples/sec	cross_entropy=56.717728
INFO:root:Epoch[0] Batch [1500-1600]	Speed: 59264.90 samples/sec	cross_entropy=57.129528
INFO:root:Epoch[0] Batch [1600-1700]	Speed: 58370.09 samples/sec	cross_entropy=56.455002
INFO:root:Epoch[0] Batch [1700-1800]	Speed: 64431.61 samples/sec	cross_entropy=56.830673
INFO:root:Epoch[0] Batch [1800-1900]	Speed: 60506.81 samples/sec	cross_entropy=57.289318
INFO:root:Epoch[0] Batch [1900-2000]	Speed: 66534.18 samples/sec	cross_entropy=57.976524
INFO:root:Epoch[0] Batch [2000-2100]	Speed: 65858.70 samples/sec	cross_entropy=58.123444
INFO:root:Epoch[0] Batch [2100-2200]	Speed: 63398.69 samples/sec	cross_entropy=57.340221
INFO:root:Epoch[0] Batch [2200-2300]	Speed: 65091.00 samples/sec	cross_entropy=57.529163
INFO:root:Epoch[0] Batch [2300-2400]	Speed: 57906.23 samples/sec	cross_entropy=55.857788
INFO:root:Epoch[0] Batch [2400-2500]	Speed: 57493.84 samples/sec	cross_entropy=55.531715
INFO:root:Epoch[0] Batch [2500-2600]	Speed: 55388.89 samples/sec	cross_entropy=55.442524
INFO:root:Epoch[0] Batch [2600-2700]	Speed: 58563.08 samples/sec	cross_entropy=55.327614
INFO:root:Epoch[0] Batch [2700-2800]	Speed: 64758.07 samples/sec	cross_entropy=54.928917
INFO:root:Epoch[0] Batch [2800-2900]	Speed: 65236.85 samples/sec	cross_entropy=55.580780
INFO:root:Epoch[0] Batch [2900-3000]	Speed: 65360.39 samples/sec	cross_entropy=54.155270
INFO:root:Epoch[0] Batch [3000-3100]	Speed: 65741.24 samples/sec	cross_entropy=55.380566
INFO:root:Epoch[0] Batch [3100-3200]	Speed: 62501.67 samples/sec	cross_entropy=55.067974
INFO:root:Epoch[0] Batch [3200-3300]	Speed: 64629.05 samples/sec	cross_entropy=54.248966
INFO:root:Epoch[0] Batch [3300-3400]	Speed: 65211.46 samples/sec	cross_entropy=53.990421
INFO:root:Epoch[0] Batch [3400-3500]	Speed: 63668.95 samples/sec	cross_entropy=54.519512
INFO:root:Epoch[0] Batch [3500-3600]	Speed: 65399.05 samples/sec	cross_entropy=55.537109
INFO:root:Epoch[0] Batch [3600-3700]	Speed: 65851.96 samples/sec	cross_entropy=56.476650
INFO:root:Epoch[0] Batch [3700-3800]	Speed: 66719.10 samples/sec	cross_entropy=54.358871
